Wall time,Step,Value
1743913348.8710053,0,0.13780447840690613
1743913416.446223,1,0.37671005725860596
1743913481.5598826,2,0.4626292884349823
1743913546.9240263,3,0.5156823396682739
1743913612.3472543,4,0.5648982524871826
1743913677.6900601,5,0.5915915966033936
1743914085.7321537,6,0.6885218620300293
1743914506.905323,7,0.7527527809143066
1743914928.2593422,8,0.7886219620704651
1743915349.6976075,9,0.8111444711685181
1743915771.1667492,10,0.8376709818840027
1743916192.3924322,11,0.8443443179130554
1743916613.8858833,12,0.8663663864135742
1743917040.088594,13,0.879379391670227
1743917466.796013,14,0.8895562291145325
1743917893.5753782,15,0.9044044017791748
1743918320.1482,16,0.9120787382125854
1743918746.7751703,17,0.917083740234375
1743919173.1920695,18,0.924924910068512
1743919600.2454388,19,0.9309309124946594
1743920026.8984878,20,0.939105749130249
1743920453.7618217,21,0.9442775845527649
1743920880.5254018,22,0.9481147527694702
1743921307.0745313,23,0.9514514803886414
1743921733.6721752,24,0.9536203145980835
1743922160.3532612,25,0.9607941508293152
1743922587.0349207,26,0.9662996530532837
1743923014.459159,27,0.9654654860496521
1743923443.7494404,28,0.9691358208656311
1743923872.7229376,29,0.9736403226852417
1743924301.8391695,30,0.9736403226852417
1743924731.080419,31,0.9783116579055786
1743925160.127851,32,0.977477490901947
1743925589.1937144,33,0.9829829931259155
1743926018.0563638,34,0.9818151593208313
1743926446.865021,35,0.9869869947433472
1743926876.1062942,36,0.9843176603317261
